Overall,Team,Player,Nat.,Pos,Age,Start,End,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS, Group
60,Nashville Predators,Denis Arkhipov\arkhide01,RU,C,19,1998,2007,Ak Bars Kazan (Russia),352,56,82,138,-51,128,,,,,,,10.8,
61,Florida Panthers,Joe DiPenta\dipenjo01,CA,D,19,1998,2008,Boston University (H-East),174,6,17,23,15,110,,,,,,,6.5,
62,Calgary Flames,Paul Manning\mannipa01,CA,D,19,1998,2003,Colorado College (WCHA),8,0,0,0,0,2,,,,,,,0.1,
63,Florida Panthers,Lance Ward\wardla01,CA,D,20,1998,2004,Red Deer (WHL),209,4,12,16,-30,391,,,,,,,2.7,
64,Tampa Bay Lightning,Brad Richards\richabr01,CA,C,18,1998,2016,Rimouski (QMJHL),1126,298,634,932,-66,251,,,,,,,92.8,
65,San Jose Sharks,Eric Laplante,CA,LW,,1998,,Halifax (QMJHL),,,,,,,,,,,,,,
66,New York Rangers,Jason LaBarbera\labarja01,CA,G,18,1998,2015,Portland (WHL),187,0,2,2,0,10,187,62,73,20,0.907,2.85,28.7,
67,Edmonton Oilers,Alex Henry\henryal01,CA,D,18,1998,2009,London (OHL),177,2,9,11,-7,269,,,,,,,0.6,
68,Vancouver Canucks,Jarkko Ruutu\ruutuja01,FI,RW,23,1998,2011,HIFK Helsinki (Finland),652,58,84,142,-21,1078,,,,,,,7.7,
69,Toronto Maple Leafs,Jamie Hodson,CA,G,,1998,,Brandon (WHL),,,,,,,,,,,,,,
70,Carolina Hurricanes,Kevin Holdridge,US,D,,1998,,Plymouth (OHL),,,,,,,,,,,,,,
71,Carolina Hurricanes,Erik Cole\coleer01,US,LW,19,1998,2015,Clarkson (ECAC),892,265,267,532,-7,659,,,,,,,59,
72,Tampa Bay Lightning,Dmitry Afanasenkov\afanadm01,RU,LW,18,1998,2007,Torpedo Yaroslavl 2 (Russia-2),227,27,27,54,-36,52,,,,,,,2.8,
73,Phoenix Coyotes,Pat O'Leary,US,C,,1998,,Robbinsdale (High-MN),,,,,,,,,,,,,,
74,Ottawa Senators,Julien Vauclair\vauclju01,CH,D,18,1998,2004,Lugano (Swiss),1,0,0,0,1,2,,,,,,,0.1,
75,Montreal Canadiens,Francois Beauchemin\beaucfr01,CA,D,18,1998,2018,Laval (QMJHL),903,76,212,288,14,490,,,,,,,60.2,
76,Los Angeles Kings,Alexei Volkov,RU,G,,1998,,Krylja Sovetov 2 (Russia-2),,,,,,,,,,,,,,
77,Buffalo Sabres,Mike Pandolfo\pandomi01,US,LW,19,1998,2004,St. Sebastian's (High-MA),3,0,0,0,-2,0,,,,,,,-0.1,
78,Boston Bruins,Peter Nordstrom\nordspe01,SE,C,24,1998,1999,Farjestad Jr. (Sweden-Jr.),2,0,0,0,-1,0,,,,,,,-0.1,
79,Colorado Avalanche,Evgeny Lazarev,UA,LW,,1998,,Kitchener Jr. B,,,,,,,,,,,,,,
80,Pittsburgh Penguins,David Cameron,CA,C,,1998,,Prince Albert (WHL),,,,,,,,,,,,,,
81,Vancouver Canucks,Justin Morrison,US,RW,,1998,,Colorado College (WCHA),,,,,,,,,,,,,,
82,New Jersey Devils,Brian Gionta\giontbr01,US,RW,19,1998,2018,Boston College (H-East),1026,291,304,595,35,377,,,,,,,67.7,
83,St. Louis Blues,Matt Walker\walkema01,CA,D,18,1998,2012,Portland (WHL),314,4,26,30,-9,464,,,,,,,7.7,
84,Detroit Red Wings,Jake McCracken,CA,G,,1998,,Sault Ste. Marie (OHL),,,,,,,,,,,,,,
85,Nashville Predators,Geoff Koch,US,LW,,1998,,Michigan (CCHA),,,,,,,,,,,,,,
86,Dallas Stars,Gabriel Karlsson,SE,C,,1998,,HV 71 Jonkoping Jr. (Sweden-Jr.),,,,,,,,,,,,,,
87,Toronto Maple Leafs,Alexei Ponikarovsky\ponikal01,UA,LW,18,1998,2013,Dynamo 2 (KHL),678,139,184,323,47,419,,,,,,,33.2,
88,Nashville Predators,Kent Sauer,US,D,,1998,,North Iowa (NAHL),,,,,,,,,,,,,,
89,Florida Panthers,Ryan Jardine\jardiry01,CA,LW,18,1998,2002,Sault Ste. Marie (OHL),8,0,2,2,0,2,,,,,,,0.1,
90,Vancouver Canucks,Regan Darby,CA,D,,1998,,Tri-City (WHL),,,,,,,,,,,,,,
91,Carolina Hurricanes,Josef Vasicek\vasicjo01,CZ,C,18,1998,2008,Slavia Praha Jr. (Czech-Jr.),460,77,106,183,-38,311,,,,,,,15.9,
92,Tampa Bay Lightning,Eric Beaudoin\beauder01,CA,LW,18,1998,2004,Guelph (OHL),53,3,8,11,-15,41,,,,,,,0,
93,Carolina Hurricanes,Tommy Westlund\westlto01,SE,RW,23,1998,2003,Brynas Gavle (Sweden),203,9,13,22,-27,48,,,,,,,-0.8,
94,Chicago Blackhawks,Matthias Trattnig,AT,C,,1998,,U. of Maine (H-East),,,,,,,,,,,,,,
95,New York Islanders,Andy Burnham,CA,RW,,1998,,Windsor (OHL),,,,,,,,,,,,,,
96,New Jersey Devils,Mikko Jokela\jokelmi01,FI,D,18,1998,2003,HIFK Helsinki (Finland),1,0,0,0,0,0,,,,,,,0,
97,Carolina Hurricanes,Chris Madden,US,G,,1998,,Guelph (OHL),,,,,,,,,,,,,,
98,San Jose Sharks,Rob Davison\davisro01,CA,D,18,1998,2010,North Bay (OHL),219,3,15,18,-5,321,,,,,,,4.9,
99,Edmonton Oilers,Shawn Horcoff\horcosh01,CA,C,19,1998,2016,Michigan State (CCHA),1008,186,325,511,-27,624,,,,,,,44.3,
100,Phoenix Coyotes,Ryan Vanbuskirk,CA,D,,1998,,Sarnia (OHL),,,,,,,,,,,,,,
101,Ottawa Senators,Petr Schastlivy\schaspe01,RU,LW,19,1998,2004,Torpedo Yaroslavl (KHL),129,18,22,40,3,30,,,,,,,3.8,
102,Calgary Flames,Shaun Sutter,CA,RW,,1998,,Lethbridge (WHL),,,,,,,,,,,,,,
103,Los Angeles Kings,Kip Brennan\brennki01,CA,LW,18,1998,2008,Sudbury (OHL),61,1,1,2,-2,222,,,,,,,-0.2,
104,San Jose Sharks,Miroslav Zalesak\zalesmi01,SK,RW,18,1998,2004,Plastika Nitra (Slovakia),12,1,2,3,-3,0,,,,,,,0.1,
105,New Jersey Devils,Pierre Dagenais\dagenpi01,CA,RW,20,1998,2006,Rouyn-Noranda (QMJHL),142,35,23,58,0,58,,,,,,,7.3,
106,Washington Capitals,Krys Barch\barchkr01,CA,LW,18,1998,2014,London (OHL),381,12,23,35,-16,812,,,,,,,0.2,
107,Washington Capitals,Chris Corrinet\corrich02,US,RW,19,1998,2002,Princeton (ECAC),8,0,1,1,-4,6,,,,,,,-0.2,
108,Calgary Flames,Dany Sabourin\sabouda01,CA,G,18,1998,2009,Sherbrooke (QMJHL),57,0,1,1,0,4,57,18,25,4,0.898,2.88,6.7,
109,Philadelphia Flyers,Jean-Philippe Morin,CA,D,,1998,,Drummondville (QMJHL),,,,,,,,,,,,,,
110,Pittsburgh Penguins,Scott Myers,CA,G,,1998,,Prince George (WHL),,,,,,,,,,,,,,
111,Detroit Red Wings,Brent Hobday,CA,C,,1998,,Moose Jaw (WHL),,,,,,,,,,,,,,
112,Anaheim Ducks,Viktor Wallin,SE,D,,1998,,HV 71 Jonkoping Jr. (Sweden-Jr.),,,,,,,,,,,,,,
113,Edmonton Oilers,Kristian Antila,FI,G,,1998,,Ilves Tampere (Finland),,,,,,,,,,,,,,
114,New York Rangers,Boyd Kane\kanebo01,CA,LW,20,1998,2010,Regina (WHL),31,0,3,3,-8,39,,,,,,,-0.4,
115,Phoenix Coyotes,Jay Leach\leachja02,US,D,19,1998,2011,Providence (H-East),70,1,2,3,3,60,,,,,,,1.6,
116,Phoenix Coyotes,Josh Blackburn,US,G,,1998,,Lincoln (USHL),,,,,,,,,,,,,,
117,Florida Panthers,Jaroslav Spacek\spaceja01,CZ,D,24,1998,2012,Farjestad (Sweden),880,82,273,355,49,618,,,,,,,69.3,
118,Washington Capitals,Mike Siklenka\siklemi01,CA,RW,18,1998,2004,Lloydminster (AJHL),2,0,0,0,0,0,,,,,,,0,
119,New Jersey Devils,Anton But,UA,LW,,1998,,Torpedo Yaroslavl 2 (Russia-2),,,,,,,,,,,,,,
120,Calgary Flames,Brent Gauvreau,CA,RW,,1998,,Oshawa (OHL),,,,,,,,,,,,,,
121,Tampa Bay Lightning,Curtis Rich,CA,D,,1998,,Calgary (WHL),,,,,,,,,,,,,,
122,New York Rangers,Patrick Leahy\leahypa01,US,RW,19,1998,2007,Miami (Ohio) (CCHA),50,4,4,8,-1,19,,,,,,,0.4,
123,New York Islanders,Jiri Dopita\dopitji01,CZ,C,29,1998,2003,DS Olomouc (Czech-2),73,12,21,33,5,19,,,,,,,3.1,
124,Philadelphia Flyers,Francis Belanger\belanfr01,CA,LW,20,1998,2001,Rimouski (QMJHL),10,0,0,0,-3,29,,,,,,,-0.2,
125,Washington Capitals,Erik Wendell,US,C,,1998,,Maple Grove H.S. (High-MN),,,,,,,,,,,,,,
126,Toronto Maple Leafs,Morgan Warren,CA,RW,,1998,,Moncton (QMJHL),,,,,,,,,,,,,,
127,San Jose Sharks,Brandon Coalter,CA,LW,,1998,,Oshawa (OHL),,,,,,,,,,,,,,
128,Edmonton Oilers,Paul Elliott,CA,D,,1998,,Medicine Hat (WHL),,,,,,,,,,,,,,
129,Phoenix Coyotes,Robert Schnabel\schnaro01,CZ,D,19,1998,2004,Slavia Praha (Czech-2),22,0,3,3,6,34,,,,,,,1.2,
130,Ottawa Senators,Gavin McLeod,CA,D,,1998,,Kelowna (WHL),,,,,,,,,,,,,,
131,New York Rangers,Tomas Kloucek\kloucto01,CZ,D,18,1998,2006,Slavia Praha Jr. (Czech-Jr.),141,2,8,10,-9,250,,,,,,,1.2,
132,Montreal Canadiens,Andrei Bashkirov\bashkan01,RU,LW,28,1998,2001,Fort Wayne/Las Vegas (IHL),30,0,3,3,-5,0,,,,,,,-0.3,
133,Los Angeles Kings,Joe Rullier,CA,D,,1998,,Rimouski (QMJHL),,,,,,,,,,,,,,
134,Pittsburgh Penguins,Rob Scuderi\scudero01,US,D,19,1998,2016,Boston College (H-East),783,8,102,110,25,198,,,,,,,30.6,
135,Boston Bruins,Andrew Raycroft\raycran01,CA,G,18,1998,2012,Sudbury (OHL),280,0,3,3,0,14,280,113,114,27,0.9,2.89,38.6,
136,Vancouver Canucks,David Ytfeldt,SE,D,,1998,,Leksand (Sweden),,,,,,,,,,,,,,
