Overall,Team,Player,Nat.,Pos,Age,Start,End,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS
56,Calgary Flames,Dillon Dube\dubedi01,CA,C,18,2016,2022,Kelowna (WHL),200,36,39,75,2,50,,,,,,,6.9
57,Toronto Maple Leafs,Carl Grundstrom\grundca01,SE,RW,18,2016,2022,Modo (Sweden),129,20,16,36,-8,56,,,,,,,3.1
58,Tampa Bay Lightning,Taylor Raddysh\raddyta01,CA,RW,18,2016,2022,Erie (OHL),74,11,11,22,1,10,,,,,,,1.7
59,St. Louis Blues,Evan Fitzpatrick\fitzpev01,CA,G,18,2016,,Sherbrooke (QMJHL),,,,,,,,,,,,,
60,San Jose Sharks,Dylan Gambrell\gambrdy01,US,C,20,2016,2022,Denver (NCHC),173,13,17,30,-24,44,,,,,,,0.1
61,Pittsburgh Penguins,Kasper Bjorkqvist\bjorkka01,FI,RW,19,2016,2022,Blues Jr. (Finland-Jr.),6,1,0,1,-1,2,,,,,,,0.1
62,Toronto Maple Leafs,Joseph Woll\wolljo01,US,G,18,2016,2022,USA U-18 (USHL),4,0,0,0,0,2,4,3,1,0,0.911,2.76,0.7
63,Edmonton Oilers,Markus Niemelainen\niemema01,FI,D,18,2016,2022,Saginaw (OHL),20,0,1,1,-5,4,,,,,,,-0.1
64,Vancouver Canucks,William Lockwood\lockwwi01,US,RW,18,2016,2022,USA U-18 (USHL),15,0,0,0,-5,11,,,,,,,-0.5
65,Columbus Blue Jackets,Vitaly Abramov\abramvi01,RU,RW,18,2016,2021,Gatineau (QMJHL),5,1,0,1,-3,2,,,,,,,0
66,Calgary Flames,Adam Fox\foxad01,US,D,18,2016,2022,USA U-18 (USHL),203,24,139,163,59,72,,,,,,,26.9
67,Carolina Hurricanes,Matt Filipe\filipma01,US,LW,18,2016,,Cedar Rapids (USHL),,,,,,,,,,,,,
68,Arizona Coyotes,Cam Dineen\dineeca01,US,D,18,2016,2022,North Bay (OHL),34,0,7,7,-16,4,,,,,,,0.1
69,Buffalo Sabres,Cliff Pu\pucl01,CA,RW,18,2016,,London (OHL),,,,,,,,,,,,,
70,Montreal Canadiens,William Bitten\bittewi01,CA,C,18,2016,,Flint (OHL),,,,,,,,,,,,,
71,Colorado Avalanche,Josh Anderson\anderjo06,CA,D,18,2016,,Prince George (WHL),,,,,,,,,,,,,
72,Toronto Maple Leafs,James Greenway\greenja01,US,D,18,2016,,USA U-18 (USHL),,,,,,,,,,,,,
