Overall,Team,Player,Nat.,Pos,Age,Start,End,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS,Group
92,Boston Bruins,Quinn Olson\olsonqu01,CA,LW,18,2019,,Okotoks (AJHL),,,,,,,,,,,,,,
93,St. Louis Blues,Colten Ellis\ellisco01,CA,G,18,2019,,Rimouski Oceanic (QMJHL),,,,,,,,,,,,,,
94,Ottawa Senators,Viktor Lodin\lodinvi01,SE,C,20,2019,2022,Orebro (Sweden),1,0,0,0,0,0,,,,,,,0,
95,Los Angeles Kings,Jordan Spence\spencjo01,AU,D,18,2019,2022,Moncton Wildcats (QMJHL),24,2,6,8,0,2,,,,,,,1.5,
96,New Jersey Devils,Tyce Thompson\thompty01,US,RW,20,2019,2022,Providence (H-East),9,0,1,1,-3,0,,,,,,,-0.2,
97,Detroit Red Wings,Ethan Phillips\phillet01,CA,C,18,2019,,Sioux Falls (USHL),,,,,,,,,,,,,,
98,Arizona Coyotes,Matias Maccelli\maccema01,FI,LW,18,2019,2022,Dubuque (USHL),23,1,5,6,-10,4,,,,,,,-0.2,
99,Carolina Hurricanes,Cade Webber\webbeca01,US,D,18,2019,,Rivers Academy (High-MA),,,,,,,,,,,,,,
100,Edmonton Oilers,Matej Blumel\blumema01,CZ,RW,19,2019,,Waterloo (USHL),,,,,,,,,,,,,,
101,Anaheim Ducks,Henry Thurn\thurnhe01,US,D,18,2019,,USA U-18 (U.S. NTDP),,,,,,,,,,,,,,
102,Buffalo Sabres,Aaron Huglen\hugleaa01,US,RW,18,2019,,Roseau (High-MN),,,,,,,,,,,,,,
103,Philadelphia Flyers,Mason Millman\millmma01,CA,D,18,2019,,Saginaw Spirit (OHL),,,,,,,,,,,,,,
104,Columbus Blue Jackets,Eric Hjorth\hjorter01,SE,D,18,2019,,Linkoping Jr. (Sweden-Jr.),,,,,,,,,,,,,,
105,Chicago Blackhawks,Michael Teply\teplymi01,CZ,LW,18,2019,,Benatky N.J. (Czech-2),,,,,,,,,,,,,,
106,Florida Panthers,Carter Berger\bergeca01,CA,D,19,2019,,Victoria (BCHL),,,,,,,,,,,,,,
107,Arizona Coyotes,Alexandr Darin\darinal01,RU,RW,19,2019,,Yaroslaval 2 (Russia-Jr.),,,,,,,,,,,,,,
108,San Jose Sharks,Yegor Spiridonov\spiriye01,RU,C,18,2019,,Magnitogorsk 2 (Russia-Jr.),,,,,,,,,,,,,,
109,Nashville Predators,Marc Del Gaizo\delgama01,US,D,19,2019,,Massachusetts-Lowell (H-East),,,,,,,,,,,,,,
110,Vegas Golden Knights,Ryder Donovan\donovry01,US,C,18,2019,,Duluth East (High-MN),,,,,,,,,,,,,,
111,Dallas Stars,Samuel Sjolund\sjolusa01,SE,D,18,2019,,AIK Jr. (Sweden-Jr.),,,,,,,,,,,,,,
112,New York Rangers,Hunter Skinner\skinnhu01,US,D,18,2019,,Lincoln (USHL),,,,,,,,,,,,,,
113,Winnipeg Jets,Henri Nikkanen\nikkahe01,FI,C,18,2019,,Jukurit Jr. (Finland-Jr.),,,,,,,,,,,,,,
114,Columbus Blue Jackets,Dimitri Voronkov\vorondi01,RU,LW,19,2019,,Bars Kazan (RUSSIA-2),,,,,,,,,,,,,,
115,Toronto Maple Leafs,Mikhail Abramov\abrammi01,RU,C,18,2019,,Victoriaville Tigres (QMJHL),,,,,,,,,,,,,,
