Overall,Team,Player,Nat.,Pos,Age,Start,End,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS
220,Toronto Maple Leafs,Scott Malone,US,D,,1990,,Northfield-Mt. Hermon (High-MA),,,,,,,,,,,,,
221,New Jersey Devils,Valeri Zelepukin\zelepva01,RU,LW,21,1990,2001,Khimik Voskresensk (Russia-2),595,117,177,294,30,527,,,,,,,22.7
222,St. Louis Blues,Joe Hawley,CA,RW,,1990,,Peterborough (OHL),,,,,,,,,,,,,
223,New York Rangers,Brett Lievers,US,C,,1990,,Wayzata (High-MN),,,,,,,,,,,,,
224,Winnipeg Jets,Sergei Selyanin,RU,D,,1990,,Khimik Voskresensk (Russia-2),,,,,,,,,,,,,
225,Hartford Whalers,Tommie Eriksen,NO,D,,1990,,Prince Albert (WHL),,,,,,,,,,,,,
226,Chicago Blackhawks,Steve Dubinsky\dubinst01,CA,C,20,1990,2003,Clarkson (ECAC),375,25,45,70,-26,164,,,,,,,-0.1
227,Edmonton Oilers,invalid pick,,,,1990,,,,,,,,,,,,,,,
228,Montreal Canadiens,John Uniac,CA,D,,1990,,Kitchener (OHL),,,,,,,,,,,,,
229,Buffalo Sabres,Kenneth Martin,US,LW,,1990,,Belmont Hill (High-MA),,,,,,,,,,,,,
230,Calgary Flames,invalid pick,,,,1990,,,,,,,,,,,,,,,
231,Boston Bruins,Andy Bezeau,CA,LW,,1990,,Niagara Falls (OHL),,,,,,,,,,,,,
232,Quebec Nordiques,Wade Klippenstein,CA,LW,,1990,,Alaska-Fairbanks (NCAA-Ind.),,,,,,,,,,,,,
233,Vancouver Canucks,Karri Kivi,FI,D,,1990,,Ilves Tampere (Finland),,,,,,,,,,,,,
234,Detroit Red Wings,John Hendry,CA,LW,,1990,,Lake Superior State (CCHA),,,,,,,,,,,,,
235,Philadelphia Flyers,William Lund,US,C,,1990,,Roseau (High-MN),,,,,,,,,,,,,
236,Pittsburgh Penguins,Brian Bruininks,US,D,,1990,,Colorado College (WCHA),,,,,,,,,,,,,
237,New York Islanders,Andy Shier,US,C,,1990,,Detroit Compuware (NAHL),,,,,,,,,,,,,
238,Los Angeles Kings,Troy Mohns,CA,D,,1990,,Colgate (ECAC),,,,,,,,,,,,,
239,Minnesota North Stars,John McKersie,US,G,,1990,,West High (High-WI),,,,,,,,,,,,,
240,Washington Capitals,Todd Hlushko\hlushto01,CA,C,20,1990,1998,London (OHL),79,8,13,21,0,84,,,,,,,0.9
241,Toronto Maple Leafs,Nick Vachon\vachoni01,CA,C,18,1990,1997,Governor Dummer (High-MA),1,0,0,0,-1,0,,,,,,,-0.1
242,New Jersey Devils,Todd Reirden\reirdto01,US,D,19,1990,2004,Tabor Academy (High-MA),183,11,35,46,-14,181,,,,,,,8.1
243,St. Louis Blues,Joe Fleming,US,D,,1990,,Xaverian (High-MA),,,,,,,,,,,,,
244,New York Rangers,Sergei Nemchinov\nemchse01,RU,LW,26,1990,2002,Krylja Sovetov (Russia),761,152,193,345,52,251,,,,,,,27.1
245,Winnipeg Jets,Keith Morris,CA,C,,1990,,Alaska-Anchorage (NCAA-Ind.),,,,,,,,,,,,,
246,Hartford Whalers,Denis Chalifoux,CA,C,,1990,,Laval (QMJHL),,,,,,,,,,,,,
247,Chicago Blackhawks,Dino Grossi,CA,RW,,1990,,Northeastern (H-East),,,,,,,,,,,,,
248,Edmonton Oilers,Sami Nuutinen,FI,D,,1990,,Kiekko-Espoo (Finland),,,,,,,,,,,,,
249,Montreal Canadiens,Sergei Martynyuk,RU,LW,,1990,,Torpedo Jaroslav (KHL),,,,,,,,,,,,,
250,Buffalo Sabres,Brad Rubachuk,CA,C,,1990,,Lethbridge (WHL),,,,,,,,,,,,,
251,Calgary Flames,Leo Gudas,CZ,D,,1990,,Sparta Praha (Czech),,,,,,,,,,,,,
252,Boston Bruins,Ted Miskolczi,CA,D,,1990,,Belleville (OHL),,,,,,,,,,,,,
