 
,Round 1,Round 1,,,,,,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,
Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS
191,Nashville Predators,Martin Erat\eratma01,CZ,RW,18,2015,ZPS Zlin Jr. (Czech-Jr.),881,176,369,545,-6,506,,,,,,,52.6
192,Washington Capitals,David Bornhammar,SE,D,,,AIK Solna Jr. (Sweden-2),,,,,,,,,,,,,
193,Los Angeles Kings,Kevin Baker,CA,RW,,,Belleville (OHL),,,,,,,,,,,,,
194,Chicago Blackhawks,Mattias Wennerberg,SE,C,,,MoDo Ornskoldsvik Jr. (Sweden-Jr.),,,,,,,,,,,,,
195,Chicago Blackhawks,Yorick Treille,FR,RW,,,U. Mass-Lowell (H-East),,,,,,,,,,,,,
196,Montreal Canadiens,Vadim Tarasov,KZ,G,,,Novokuznetsk (KHL),,,,,,,,,,,,,
197,New York Rangers,Arto Laatikainen,FI,D,,,Espoo (Finland),,,,,,,,,,,,,
198,Florida Panthers,Travis Eagles,CA,RW,,,Prince George (WHL),,,,,,,,,,,,,
199,Edmonton Oilers,Christian Chartier,CA,D,,,Saskatoon (WHL),,,,,,,,,,,,,
200,Philadelphia Flyers,Pavel Kasparik,CZ,C,,,Pisek (Czech-2),,,,,,,,,,,,,
201,Ottawa Senators,Mikko Ruutu,FI,LW,,,HIFK Helsinki (Finland),,,,,,,,,,,,,
202,Carolina Hurricanes,Jim Baxter,CA,D,,,Oshawa (OHL),,,,,,,,,,,,,
203,St. Louis Blues,Phil Osaer,US,G,,,Ferris State (CCHA),,,,,,,,,,,,,
204,Pittsburgh Penguins,Tom Kostopoulos\kostoto01,CA,RW,20,2013,London (OHL),630,61,96,157,-48,723,,,,,,,7.4
205,Nashville Predators,Kyle Kettles,CA,G,,,Neepawa,,,,,,,,,,,,,
206,Buffalo Sabres,Bret DeCecco,CA,RW,,,Seattle (WHL),,,,,,,,,,,,,
207,Boston Bruins,Greg Barber,CA,RW,,,Victoria (WHL),,,,,,,,,,,,,
208,Philadelphia Flyers,Vaclav Pletka\pletkva01,CZ,RW,20,2002,Trinec (Czech),1,0,0,0,0,0,,,,,,,0.0
209,Ottawa Senators,Layne Ulmer\ulmerla01,CA,C,19,2004,Swift Current (WHL),1,0,0,0,-1,0,,,,,,,-0.1
210,Detroit Red Wings,Henrik Zetterberg\zettehe01,SE,LW,18,2018,Timra (Sweden-2),1082,337,623,960,160,401,,,,,,,109.3
211,Toronto Maple Leafs,Vladimir Kulikov,RU,G,,,CSKA Moscow (Russia),,,,,,,,,,,,,
212,Colorado Avalanche,Radim Vrbata\vrbatra01,CZ,RW,18,2018,Hull (QMJHL),1057,284,339,623,-19,294,,,,,,,69.1
213,Ottawa Senators,Alexandre Giroux\giroual01,CA,C/LW,18,2012,Hull (QMJHL),48,6,6,12,-2,26,,,,,,,0.8
214,New Jersey Devils,Chris Hartsburg,US,RW,,,Colorado College (WCHA),,,,,,,,,,,,,
215,Dallas Stars,Jeff MacMillan\macmije01,CA,D,20,2004,Oshawa (OHL),4,0,0,0,-2,0,,,,,,,-0.1
