Overall,Team,Player,Nat.,Pos,Age,Start,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS,Group
214,Los Angeles Kings,Cristobal Huet,FR,G,26,2001,2010,Lugano (Swiss),272,0,3,3,0,10,272,129,90,32,0.913,2.46,48.2,
215,Edmonton Oilers,Dan Baum,CA,C,18,2001,,Prince George (WHL),,,,,,,,,,,,,,
216,Chicago Blackhawks,Oleg Minakov,RU,RW,18,2001,,Elektrostal (Russia-2),,,,,,,,,,,,,,
217,Pittsburgh Penguins,Tomas Duba,CZ,G,20,2001,,Sparta Praha Jr. (Czech-Jr.),,,,,,,,,,,,,,
218,Ottawa Senators,Jan Platil,CZ,D,18,2001,,Barrie (OHL),,,,,,,,,,,,,,
219,Tampa Bay Lightning,Dennis Packard,CA,LW,19,2001,,Harvard (ECAC),,,,,,,,,,,,,,
220,Calgary Flames,Dave Moss,US,LW,19,2001,2015,Cedar Rapids (USHL),501,78,100,178,-23,157,,,,,,,14.9,
221,Washington Capitals,Johnny Oduya,SE,D,19,2001,2018,Victoriaville (QMJHL),850,41,149,190,63,372,,,,,,,44.8,
222,Tampa Bay Lightning,Jeremy Van Hoof,CA,D,20,2001,,Ottawa (OHL),,,,,,,,,,,,,,
223,Ottawa Senators,Brandon Bochenski,US,RW,19,2001,2010,Lincoln (USHL),156,28,40,68,1,54,,,,,,,6.7,
224,Anaheim Ducks,Tony Martensson,SE,C,21,2001,2004,Brynas Gavle (Sweden),6,1,1,2,-2,0,,,,,,,0.2,
225,Philadelphia Flyers,David Printz,SE,D,21,2001,2007,Great Falls,13,0,0,0,-3,4,,,,,,,-0.1,
226,New York Rangers,Pontus Petterstrom,SE,LW,19,2001,,Tingsryds (Sweden-2),,,,,,,,,,,,,,
227,Colorado Avalanche,Marek Svatos,SK,RW,19,2001,2011,Kootenay (WHL),344,100,72,172,-4,217,,,,,,,20.1,
228,New York Islanders,Mike Bray,CA,RW,18,2001,,Quebec (QMJHL),,,,,,,,,,,,,,
229,New Jersey Devils,Aaron Voros,CA,C,20,2001,2011,Victoria (WHL),162,18,19,37,-22,395,,,,,,,2.7,
230,New York Rangers,Leonid Zhvachkin,RU,D,18,2001,,Podolsk Jr. (Russia-Jr.),,,,,,,,,,,,,,
231,Florida Panthers,Kyle Bruce,CA,RW,18,2001,,Prince Albert (WHL),,,,,,,,,,,,,,
232,Anaheim Ducks,Martin Gerber,CH,G,27,2001,2011,Langnau (Swiss),229,0,7,7,0,30,229,113,78,21,0.911,2.63,41.7,
233,Calgary Flames,Joe Campbell,US,D,19,2001,,Des Moines (USHL),,,,,,,,,,,,,,
234,Buffalo Sabres,Calle Aslund,SE,D,18,2001,,Huddinge Jr. (Sweden-Jr.),,,,,,,,,,,,,,
235,Ottawa Senators,Neil Petruic,CA,D,19,2001,,Kindersley (SJHL),,,,,,,,,,,,,,
236,Columbus Blue Jackets,Ryan Bowness,CA,RW,18,2001,,Brampton (OHL),,,,,,,,,,,,,,
237,Los Angeles Kings,Mike Gabinet,CA,D,19,2001,,Nebraska-Omaha (CCHA),,,,,,,,,,,,,,
238,New York Rangers,Ryan Hollweg,US,C,18,2001,2011,Medicine Hat (WHL),228,5,9,14,-34,349,,,,,,,-2.5,
239,Minnesota Wild,Jake Riddle,US,LW,18,2001,,Seattle (WHL),,,,,,,,,,,,,,
240,Nashville Predators,Gustav Grasberg,SE,C,18,2001,,Mora (Sweden-2),,,,,,,,,,,,,,
241,Boston Bruins,Milan Jurcina,SK,D,18,2001,2012,Halifax (QMJHL),430,22,59,81,-28,280,,,,,,,14.3,
242,Columbus Blue Jackets,Andrew Murray,CA,C,19,2001,2013,Selkirk,221,24,16,40,-7,36,,,,,,,2.6,
243,Phoenix Coyotes,Frantisek Lukes,CZ,LW,18,2001,,St. Michael's (OJHL),,,,,,,,,,,,,,
244,Carolina Hurricanes,Carter Trevisani,CA,D,19,2001,,Ottawa (OHL),,,,,,,,,,,,,,
245,Vancouver Canucks,Konstantin Mikhailov,RU,C,18,2001,,Nizhnekamsk Jrs. (Russia-Jr.),,,,,,,,,,,,,,
246,Toronto Maple Leafs,Tomas Mojzis,CZ,D,19,2001,2009,Moose Jaw (WHL),17,1,2,3,1,14,,,,,,,0.7,
247,Buffalo Sabres,Marek Dubec,SK,LW,19,2001,,Vsetin Jr. (Czech-Jr.),,,,,,,,,,,,,,
248,Edmonton Oilers,Kari Haakana,FI,D,27,2001,2003,Jokerit Helsinki (KHL),13,0,0,0,-2,4,,,,,,,-0.1,
249,Washington Capitals,Matt Maglione,US,D,19,2001,,Princeton (ECAC),,,,,,,,,,,,,,
250,Pittsburgh Penguins,Brandon Crawford-West,US,G,19,2001,,Texas Tornado (NAHL),,,,,,,,,,,,,,
251,Calgary Flames,Ville Hamalainen,FI,LW,20,2001,,SaiPa (Finland),,,,,,,,,,,,,,
252,Tampa Bay Lightning,J.F. Soucy,CA,C,18,2001,,Montreal (QMJHL),,,,,,,,,,,,,,
253,St. Louis Blues,Petr Cajanek,CZ,RW,26,2001,2007,Continental Zlin (Czech),269,46,107,153,15,144,,,,,,,13.8,
254,Washington Capitals,Peter Polcik,SK,RW,18,2001,,Nitra (Slovakia),,,,,,,,,,,,,,
255,Dallas Stars,Marco Rosa,CA,C,19,2001,,Merrimack (H-East),,,,,,,,,,,,,,
256,Ottawa Senators,Gregg Johnson,US,C,19,2001,,Boston University (H-East),,,,,,,,,,,,,,
257,New Jersey Devils,Yevgeny Gamalei,RU,D,19,2001,,Khimik Voskresensk (Russia-2),,,,,,,,,,,,,,
258,Detroit Red Wings,Dmitri Bykov,RU,D,24,2001,2003,Ak Bars Kazan (Russia),71,2,10,12,1,43,,,,,,,2.3,
259,Tampa Bay Lightning,Dmitri Bezrukov,RU,LW,23,2001,,Neftekhimik (KHL),,,,,,,,,,,,,,
260,New York Islanders,Bryan Perez,US,C,19,2001,,Michigan Tech (WCHA),,,,,,,,,,,,,,
261,Tampa Bay Lightning,Vitali Smolyaninov,RU,LW,18,2001,,Neftekhimik (KHL),,,,,,,,,,,,,,
262,Atlanta Thrashers,Mario Cartelli,CZ,D,21,2001,,Trinec (Czech),,,,,,,,,,,,,,
263,Florida Panthers,Jan Blanar,SK,D,18,2001,,Dukla Trencin Jr. (Slovak-Jr.),,,,,,,,,,,,,,
264,Anaheim Ducks,P.A. Parenteau,CA,LW,18,2001,2017,Chicoutimi (QMJHL),491,114,182,296,-45,342,,,,,,,30.2,
265,Dallas Stars,Dale Sullivan,CA,RW,18,2001,,Hull (QMJHL),,,,,,,,,,,,,,
266,Montreal Canadiens,Viktor Ujcik,CZ,RW,29,2001,,Slavia Praha (Czech-2),,,,,,,,,,,,,,
267,Florida Panthers,Ivan Majesky,SK,D,25,2001,2006,Ilves Tampere (Finland),202,8,23,31,-27,234,,,,,,,5.6,
268,Chicago Blackhawks,Jeff Miles,CA,C,20,2001,,Vermont (ECAC),,,,,,,,,,,,,,
269,New York Rangers,Juris Stals,LV,LW,19,2001,,Lukko Rauma Jr. (Finland-Jr.),,,,,,,,,,,,,,
270,St. Louis Blues,Grant Jacobsen,CA,C,18,2001,,Regina (WHL),,,,,,,,,,,,,,
271,Nashville Predators,Mikko Lehtonen,FI,D,23,2001,2007,Karpat Oulu (Finland),15,1,2,3,0,8,,,,,,,0.6,
272,Edmonton Oilers,Ales Pisa,CZ,D,24,2001,2003,Pardubice (Czech),53,1,3,4,12,26,,,,,,,2.1,
273,Phoenix Coyotes,Severin Blindenbacher,CH,D,18,2001,,Kloten (Swiss),,,,,,,,,,,,,,
274,Carolina Hurricanes,Peter Reynolds,CA,D,20,2001,,North Bay (OHL),,,,,,,,,,,,,,
275,Washington Capitals,Robert Muller,DE,G,21,2001,,Mannheim (Germany),,,,,,,,,,,,,,
276,Toronto Maple Leafs,Mike Knoepfli,CA,LW,19,2001,,Georgetown (OPJHL),,,,,,,,,,,,,,
277,Los Angeles Kings,Sebastien Laplante,CA,G,20,2001,,Rayside-Balfour,,,,,,,,,,,,,,
278,Edmonton Oilers,Shay Stephenson,CA,LW,18,2001,2007,Red Deer (WHL),2,0,0,0,0,0,,,,,,,0,
279,Buffalo Sabres,Ryan Jorde,CA,D,19,2001,,Tri-City (WHL),,,,,,,,,,,,,,
280,New York Islanders,Roman Kuhtinov,RU,D,25,2001,,Novokuznetsk (KHL),,,,,,,,,,,,,,
281,Tampa Bay Lightning,Ilja Solarev,RU,LW,19,2001,,Perm (Russia-2),,,,,,,,,,,,,,
282,Boston Bruins,Marcel Rodman,SI,RW,19,2001,,Peterborough (OHL),,,,,,,,,,,,,,
283,St. Louis Blues,Simon Skoog,SE,D,18,2001,,Morrum (Sweden-2),,,,,,,,,,,,,,
284,Washington Capitals,Viktor Hubl,CZ,LW,23,2001,,Slavia Praha (Czech-2),,,,,,,,,,,,,,
285,Dallas Stars,Marek Tomica,CZ,LW,20,2001,,Slavia Praha (Czech-2),,,,,,,,,,,,,,
286,Ottawa Senators,Toni Dahlman,FI,RW,22,2001,2003,Ilves Tampere (Finland),22,1,1,2,-2,0,,,,,,,0,
287,New York Islanders,Juha-Pekka Ketola,FI,RW,18,2001,,Lukko Rauma Jr. (Finland-Jr.),,,,,,,,,,,,,,
288,Detroit Red Wings,Francois Senez,CA,D,19,2001,,RPI (ECAC),,,,,,,,,,,,,,
289,Tampa Bay Lightning,Henrik Bergfors,SE,D,19,2001,,Sodertalje (Sweden-2),,,,,,,,,,,,,,
