Overall,Team,Player,Nat.,Pos,Age,Start,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS,Group
58,Florida Panthers,Vladimir Sapozhnikov,RU,D,,2000,,Novokuznetsk (KHL),,,,,,,,,,,,,,
59,Boston Bruins,Ivan Huml\humliv01,CZ,LW,19,2000,2004,Langley (BCHL),49,6,12,18,2,36,,,,,,,1.5,
60,Dallas Stars,Dan Ellis\ellisda01,CA,G,20,2000,2015,Omaha (USHL),212,0,6,6,0,6,212,87,79,18,0.906,2.79,30.1,
61,Washington Capitals,Jakub Cutta\cuttaja01,CZ,D,18,2000,2004,Swift Current (WHL),8,0,0,0,-5,0,,,,,,,-0.3,
62,New Jersey Devils,Paul Martin\martipa01,US,D,19,2000,2018,Elk River (High-MN),870,50,270,320,126,238,,,,,,,72.2,
63,Colorado Avalanche,Agris Saviels,LV,D,,2000,,Owen Sound (OHL),,,,,,,,,,,,,,
64,New York Rangers,Filip Novak\novakfi01,CZ,D,18,2000,2007,Regina (WHL),17,0,0,0,-1,6,,,,,,,0.1,
65,St. Louis Blues,Dave Morisset\morisda02,CA,RW,19,2000,2002,Seattle (WHL),4,0,0,0,-7,5,,,,,,,-0.4,
66,Boston Bruins,Tuukka Makela,FI,D,,2000,,HIFK Helsinki (Finland),,,,,,,,,,,,,,
67,New Jersey Devils,Max Birbraer,KZ,RW,,2000,,Newmarket (OHL),,,,,,,,,,,,,,
68,Dallas Stars,Joel Lundqvist\lundqjo01,SE,C,18,2000,2009,Vastra Frolunda (Sweden),134,7,19,26,-17,56,,,,,,,0.4,
69,Columbus Blue Jackets,Ben Knopp,CA,RW,,2000,,Moose Jaw (WHL),,,,,,,,,,,,,,
70,Toronto Maple Leafs,Mikael Tellqvist\tellqmi01,SE,G,20,2000,2009,Djurgarden (Sweden),113,0,2,2,0,2,113,45,41,10,0.898,3.01,15.3,
71,Vancouver Canucks,Thatcher Bell,CA,C,,2000,,Rimouski (QMJHL),,,,,,,,,,,,,,
72,Nashville Predators,Mattias Nilsson,SE,D,,2000,,MoDo Ornskoldsvik (Sweden),,,,,,,,,,,,,,
73,Boston Bruins,Sergei Zinovjev\zinovse01,RU,C/LW,20,2000,2004,Novokuznetsk (KHL),10,0,1,1,1,2,,,,,,,0,
74,Chicago Blackhawks,Igor Radulov\radulig01,RU,LW,18,2000,2004,Torpedo Yaroslavl 2 (Russia-2),43,9,7,16,-5,22,,,,,,,1.7,
75,St. Louis Blues,Justin Papineau\papinju01,CA,C,20,2000,2004,Belleville (OHL),81,11,8,19,2,12,,,,,,,2.2,
76,New Jersey Devils,Mike Rupp\ruppmi01,US,C,20,2000,2014,Erie (OHL),610,54,45,99,-28,855,,,,,,,6.5,
77,Florida Panthers,Robert Fried,US,RW,,2000,,Deerfield Academy (High-MA),,,,,,,,,,,,,,
78,Montreal Canadiens,Jozef Balej\balejjo01,SK,RW,18,2000,2006,Portland (WHL),18,1,5,6,0,4,,,,,,,0.3,
79,Montreal Canadiens,Tyler Hanchuck,CA,D,,2000,,Brampton (OHL),,,,,,,,,,,,,,
80,Carolina Hurricanes,Ryan Bayda\baydary01,CA,LW,19,2000,2009,U. of North Dakota (WCHA),179,16,24,40,-20,94,,,,,,,1.8,
81,Tampa Bay Lightning,Alexander Kharitonov\kharial01,RU,LW,24,2000,2002,Dynamo Moscow (Russia),71,7,15,22,-10,12,,,,,,,1.3,
82,Florida Panthers,Sean O'Connor,CA,RW,,2000,,Moose Jaw (WHL),,,,,,,,,,,,,,
83,Edmonton Oilers,Alexander Liubimov,RU,D,,2000,,Lada Togliatti (KHL),,,,,,,,,,,,,,
84,Pittsburgh Penguins,Peter Hamerlik\hamerpe01,SK,G,18,2000,,Skalica (Slovakia),,,,,,,,,,,,,,
85,Phoenix Coyotes,Ramzi Abid\abidra01,CA,LW,20,2000,2007,Halifax (QMJHL),68,14,16,30,-11,78,,,,,,,2.8,
86,Los Angeles Kings,Yanick Lehoux\lehouya01,CA,C,18,2000,2007,Baie-Comeau (QMJHL),10,2,2,4,0,6,,,,,,,0.4,
87,Ottawa Senators,Jan Bohac,CZ,C,,2000,,Slavia Praha (Czech-2),,,,,,,,,,,,,,
88,Colorado Avalanche,Kurt Sauer\sauerku01,US,D,19,2000,2010,Spokane (WHL),357,5,28,33,-15,250,,,,,,,10.1,
89,Nashville Predators,Libor Pivko\pivkoli01,CZ,LW,20,2000,2004,Havirov (Czech-2),1,0,0,0,0,0,,,,,,,0,
90,Toronto Maple Leafs,Jean-Francois Racine,CA,G,,2000,,Drummondville (QMJHL),,,,,,,,,,,,,,
91,Dallas Stars,Alexei Tereschenko,RU,C,,2000,,Dynamo Moscow (Russia),,,,,,,,,,,,,,
92,Colorado Avalanche,Sergei Klyazmin,RU,LW,,2000,,Dynamo Moscow (Russia),,,,,,,,,,,,,,
93,Vancouver Canucks,Tim Branham,US,D,,2000,,Barrie (OHL),,,,,,,,,,,,,,
94,Philadelphia Flyers,Alexander Drozdetsky,RU,RW,,2000,,St. Petersburg (KHL),,,,,,,,,,,,,,
95,New York Rangers,Dominic Moore\mooredo01,CA,C,20,2000,2018,Harvard (ECAC),897,106,176,282,-23,487,,,,,,,19.2,
96,St. Louis Blues,Antoine Bergeron,CA,D,,2000,,Val d'Or (QMJHL),,,,,,,,,,,,,,
97,Carolina Hurricanes,Niclas Wallin\wallini01,SE,D,25,2000,2011,Brynas Gavle (Sweden),614,21,58,79,-61,460,,,,,,,16.2,
98,Anaheim Ducks,Jonas Ronnqvist\ronnqjo01,SE,RW,27,2000,2001,Lulea (Sweden),38,0,4,4,-7,14,,,,,,,-0.4,
99,Minnesota Wild,Marc Cavosie,US,C,,2000,,RPI (ECAC),,,,,,,,,,,,,,
100,Toronto Maple Leafs,Miguel Delisle,CA,RW,,2000,,Ottawa (OHL),,,,,,,,,,,,,,
101,New York Islanders,Arto Tukio,FI,D,,2000,,Ilves Tampere (Finland),,,,,,,,,,,,,,
102,Detroit Red Wings,Stefan Liv,SE,G,,2000,,HV 71 Jonkoping (Sweden),,,,,,,,,,,,,,
103,Boston Bruins,Brett Nowak,US,C,,2000,,Harvard (ECAC),,,,,,,,,,,,,,
104,San Jose Sharks,Jon DiSalvatore\disaljo01,US,RW,19,2000,2012,Providence (H-East),6,0,0,0,-1,4,,,,,,,-0.1,
105,New York Islanders,Vladimir Gorbunov,RU,RW,,2000,,HC Moscow (KHL),,,,,,,,,,,,,,
106,Chicago Blackhawks,Scott Balan,CA,D,,2000,,Regina (WHL),,,,,,,,,,,,,,
107,Atlanta Thrashers,Carl Mallette,CA,C,,2000,,Victoriaville (QMJHL),,,,,,,,,,,,,,
108,Atlanta Thrashers,Blake Robson,CA,C,,2000,,Portland (WHL),,,,,,,,,,,,,,
109,Montreal Canadiens,Johan Eneqvist,SE,LW,,2000,,Leksand (Sweden),,,,,,,,,,,,,,
110,Carolina Hurricanes,Jared Newman,US,D,,2000,,Plymouth (OHL),,,,,,,,,,,,,,
111,Buffalo Sabres,Ghyslain Rousseau,CA,G,,2000,,Baie-Comeau (QMJHL),,,,,,,,,,,,,,
112,New York Rangers,Premysl Duben,CZ,D,,2000,,Dukla Jihlava (Czech-2),,,,,,,,,,,,,,
113,Edmonton Oilers,Lou Dickenson,CA,C,,2000,,Mississauga (OHL),,,,,,,,,,,,,,
114,Montreal Canadiens,Christian Larrivee,CA,C,,2000,,Chicoutimi (QMJHL),,,,,,,,,,,,,,
115,Florida Panthers,Chris Eade,CA,D,,2000,,North Bay (OHL),,,,,,,,,,,,,,
116,Calgary Flames,Levente Szuper,HU,G,,2000,,Ottawa (OHL),,,,,,,,,,,,,,
117,Chicago Blackhawks,Olli Malmivaara\malmiol01,FI,D,18,2000,2008,Jokerit Helsinki (KHL),2,0,0,0,2,0,,,,,,,0.2,
118,Los Angeles Kings,Lubomir Visnovsky\visnolu01,SK,D,24,2000,2015,Bratislava (KHL),883,128,367,495,40,373,,,,,,,87,
119,Colorado Avalanche,Brian Fahey\faheybr01,US,D,19,2000,2011,Wisconsin (WCHA),7,0,1,1,-1,2,,,,,,,0.1,
120,Florida Panthers,Davis Parley,CA,G,,2000,,Kamloops (WHL),,,,,,,,,,,,,,
121,Washington Capitals,Ryan Vanbuskirk,CA,D,,2000,,Sarnia (OHL),,,,,,,,,,,,,,
122,Ottawa Senators,Derrick Byfuglien,US,D,,2000,,Fargo (USHL),,,,,,,,,,,,,,
123,Dallas Stars,Vadim Khomitski,RU,D,,2000,,Moscow (KHL),,,,,,,,,,,,,,
124,Pittsburgh Penguins,Michel Ouellet\ouellmi01,CA,RW,18,2000,2009,Rimouski (QMJHL),190,52,64,116,-4,58,,,,,,,12.6,
125,New Jersey Devils,Phil Cole,CA,D,,2000,,Lethbridge (WHL),,,,,,,,,,,,,,
126,Tampa Bay Lightning,Johan Hagglund,SE,C,,2000,,MoDo Ornskoldsvik (Sweden),,,,,,,,,,,,,,
127,Detroit Red Wings,Dmitri Semenov,RU,RW,,2000,,Dynamo Moscow (Russia),,,,,,,,,,,,,,
128,Detroit Red Wings,Alexander Seluyanov,RU,D,,2000,,Salavat Yulayev Ufa (KHL),,,,,,,,,,,,,,
129,St. Louis Blues,Troy Riddle,US,C,,2000,,Des Moines (USHL),,,,,,,,,,,,,,
130,Detroit Red Wings,Aaron Van Leusen,CA,C,,2000,,Brampton (OHL),,,,,,,,,,,,,,
131,Nashville Predators,Matt Hendricks\hendrma01,US,C,19,2000,2019,Blaine (High-MN),607,54,62,116,-41,722,,,,,,,5.2,
132,Minnesota Wild,Maxim Sushinsky\sushima01,RU,RW,26,2000,2001,Avangard Omsk (KHL),30,7,4,11,-7,29,,,,,,,1,
133,Columbus Blue Jackets,Petteri Nummelin\nummepe01,FI,D,27,2000,2008,Columbus (Swiss),139,9,36,45,-28,34,,,,,,,7,
134,Anaheim Ducks,Peter Podhradsky,SK,D,,2000,,Bratislava (KHL),,,,,,,,,,,,,,
135,New Jersey Devils,Mike Danton\dantomi01,CA,C,19,2000,2004,Barrie (OHL),87,9,5,14,-8,182,,,,,,,0.8,
136,New York Islanders,Dmitri Upper,KZ,C,,2000,,Nizhny Novgorod (KHL),,,,,,,,,,,,,,
137,Nashville Predators,Mike Stuart\stuarmi01,US,D,20,2000,2006,Colorado College (WCHA),3,0,0,0,0,0,,,,,,,0,
138,Columbus Blue Jackets,Scott Heffernan,CA,D,,2000,,Sarnia (OHL),,,,,,,,,,,,,,
139,Dallas Stars,Ruslan Bernikov,RU,RW,,2000,,Khabarovsk (KHL),,,,,,,,,,,,,,
140,New York Rangers,Nathan Martz,CA,C,,2000,,Chilliwack (BCHL),,,,,,,,,,,,,,
141,Calgary Flames,Wade Davis,CA,D,,2000,,Calgary (WHL),,,,,,,,,,,,,,
142,San Jose Sharks,Michal Pinc,CZ,LW,,2000,,Rouyn-Noranda (QMJHL),,,,,,,,,,,,,,
143,New York Rangers,Brandon Snee,US,G,,2000,,Union (ECAC),,,,,,,,,,,,,,
144,Vancouver Canucks,Pavel Duma,RU,C,,2000,,Nizhnekamsk (KHL),,,,,,,,,,,,,,
145,Montreal Canadiens,Ryan Glenn,CA,D,,2000,,Walpole (High-MA),,,,,,,,,,,,,,
146,Pittsburgh Penguins,David Koci\kocida01,CZ,LW,19,2000,2011,Sparta Praha (Czech),142,3,1,4,-13,461,,,,,,,-0.5,
147,Atlanta Thrashers,Matt McRae,CA,C,,2000,,Cornell (ECAC),,,,,,,,,,,,,,
148,New York Islanders,Kristofer Ottosson,SE,RW,,2000,,Djurgarden (Sweden),,,,,,,,,,,,,,
149,Buffalo Sabres,Denis Denisov,RU,LW,,2000,,Moscow (KHL),,,,,,,,,,,,,,
150,Columbus Blue Jackets,Tyler Kolarik,US,C,,2000,,Deerfield Academy (High-MA),,,,,,,,,,,,,,
151,Chicago Blackhawks,Alexander Barkunov,RU,D,,2000,,Torpedo Yaroslavl (KHL),,,,,,,,,,,,,,
152,Edmonton Oilers,Paul Flache\flachpa01,CA,D,18,2000,,Brampton (OHL),,,,,,,,,,,,,,
153,Anaheim Ducks,Bill Cass,US,D,,2000,,Boston College (H-East),,,,,,,,,,,,,,
154,Nashville Predators,Matt Koalska\koalsma01,US,C,20,2000,2006,Twin Cities (USHL),3,0,0,0,-1,2,,,,,,,-0.1,
155,Calgary Flames,Travis Moen\moentr01,CA,LW,18,2000,2016,Kelowna (WHL),747,59,77,136,-66,801,,,,,,,1.8,
156,Ottawa Senators,Greg Zanon\zanongr01,CA,D,20,2000,2013,U. Nebraska-Omaha (CCHA),493,12,50,62,-9,230,,,,,,,18.1,
157,Ottawa Senators,Grant Potulny,US,C,,2000,,Lincoln (USHL),,,,,,,,,,,,,,
158,Ottawa Senators,Sean Connolly,US,D,,2000,,Northern Michigan (CCHA),,,,,,,,,,,,,,
159,Colorado Avalanche,John-Michael Liles\lilesjo01,US,D,19,2000,2017,Michigan State (CCHA),836,87,283,370,-44,286,,,,,,,61.1,
160,Phoenix Coyotes,Nate Kiser,US,D,,2000,,Plymouth (OHL),,,,,,,,,,,,,,
161,Tampa Bay Lightning,Pavel Sedov,RU,RW,,2000,,Khimik Voskresensk (Russia-2),,,,,,,,,,,,,,
162,Dallas Stars,Artem Chernov,RU,C,,2000,,Novokuznetsk 2 (Russia-3),,,,,,,,,,,,,,
163,Washington Capitals,Ivan Nepryayev,RU,C,,2000,,Torpedo Yaroslavl 2 (Russia-2),,,,,,,,,,,,,,
164,New Jersey Devils,Matus Kostur,SK,G,,2000,,Zvolen (Slovakia),,,,,,,,,,,,,,
165,Los Angeles Kings,Nathan Marsters,CA,G,,2000,,Chilliwack (BCHL),,,,,,,,,,,,,,
166,San Jose Sharks,Nolan Schaefer\schaeno01,CA,G,20,2000,2006,Providence (H-East),7,0,0,0,0,2,7,5,1,0,0.92,1.88,1.1,
167,St. Louis Blues,Craig Weller\wellecr01,CA,RW,19,2000,2009,Calgary (WHL),95,4,10,14,-10,127,,,,,,,0.2,
168,Atlanta Thrashers,Zdenek Smid,CZ,G,,2000,,Karlovy Vary (Czech),,,,,,,,,,,,,,
169,Columbus Blue Jackets,Shane Bendera,CA,G,,2000,,Red Deer (WHL),,,,,,,,,,,,,,
170,Minnesota Wild,Erik Reitz\reitzer01,US,D,18,2000,2009,Barrie (OHL),48,1,1,2,-7,69,,,,,,,0.6,
171,Philadelphia Flyers,Roman Cechmanek\cechmro01,CZ,G,29,2000,2004,Vsetin (Czech),212,0,1,1,0,24,212,110,64,28,0.919,2.08,38.1,
172,Montreal Canadiens,Scott Selig,US,RW,,2000,,Thayer Academy (High-MA),,,,,,,,,,,,,,
173,Nashville Predators,Tomas Harant,SK,D,,2000,,Zilina (Slovakia-2),,,,,,,,,,,,,,
174,Boston Bruins,Jarno Kultanen\kultaja01,FI,D,27,2000,2003,HIFK Helsinki (Finland),102,2,11,13,-3,59,,,,,,,3,
175,New York Rangers,Sven Helfenstein,CH,LW,,2000,,Kloten Jr. (Swiss-Jr.),,,,,,,,,,,,,,
176,Calgary Flames,Jukka Hentunen\hentuju01,FI,RW,26,2000,2002,HPK Hameenlinna (Finland),38,4,5,9,-9,4,,,,,,,0.3,
177,Chicago Blackhawks,Michael Ayers,US,G,,2000,,Dubuque (USHL),,,,,,,,,,,,,,
178,Atlanta Thrashers,Jeff Dwyer,US,D,,2000,,Choate-Rosemary (High-CT),,,,,,,,,,,,,,
179,Toronto Maple Leafs,Vadim Sozinov,KZ,C,,2000,,Novokuznetsk 2 (Russia-3),,,,,,,,,,,,,,
180,Atlanta Thrashers,Darcy Hordichuk\hordida01,CA,LW,20,2000,2013,Saskatoon (WHL),542,20,21,41,-25,1140,,,,,,,0,
181,Carolina Hurricanes,J.D. Forrest,US,D,,2000,,U.S. Nationals,,,,,,,,,,,,,,
182,Montreal Canadiens,Petr Chvojka,CZ,D,,2000,,Plzen (Czech),,,,,,,,,,,,,,
183,San Jose Sharks,Michal Macho,SK,C,,2000,,Martin (Slovakia),,,,,,,,,,,,,,
184,Edmonton Oilers,Shaun Norrie,CA,RW,,2000,,Calgary (WHL),,,,,,,,,,,,,,
185,Pittsburgh Penguins,Patrick Foley,US,LW,,2000,,New Hampshire (H-East),,,,,,,,,,,,,,
186,Phoenix Coyotes,Brent Gauvreau,CA,RW,,2000,,Oshawa (OHL),,,,,,,,,,,,,,
187,Detroit Red Wings,Per Backer,SE,RW,,2000,,Grums (Sweden-2),,,,,,,,,,,,,,
188,Ottawa Senators,Jason Maleyko,CA,D,,2000,,Brampton (OHL),,,,,,,,,,,,,,
189,Colorado Avalanche,Chris Bahen,CA,D,,2000,,Clarkson (ECAC),,,,,,,,,,,,,,
190,Florida Panthers,Josh Olson\olsonjo01,US,LW,19,2000,2004,Omaha (USHL),5,1,0,1,1,0,,,,,,,0.2,
191,Tampa Bay Lightning,Aaron Gionet,CA,D,,2000,,Kamloops (WHL),,,,,,,,,,,,,,
192,Dallas Stars,Ladislav Vlcek,CZ,RW,,2000,,Poldi Kladno (Czech),,,,,,,,,,,,,,
193,Chicago Blackhawks,Joey Martin,US,D,,2000,,Omaha (USHL),,,,,,,,,,,,,,
194,New Jersey Devils,Deryk Engelland\engelde01,CA,D,18,2000,2020,Moose Jaw (WHL),671,30,97,127,4,579,,,,,,,25.8,
195,Philadelphia Flyers,Colin Shields,GB,RW,,2000,,Cleveland (NAHL),,,,,,,,,,,,,,
196,Detroit Red Wings,Paul Ballantyne,CA,D,,2000,,Sault Ste. Marie (OHL),,,,,,,,,,,,,,
197,Nashville Predators,Zbynek Irgl,CZ,C,,2000,,Vitkovice (Czech),,,,,,,,,,,,,,
198,New Jersey Devils,Ken Magowan,CA,LW,,2000,,Vernon (BCHL),,,,,,,,,,,,,,
199,Minnesota Wild,Brian Passmore,CA,C,,2000,,Oshawa (OHL),,,,,,,,,,,,,,
200,Columbus Blue Jackets,Janne Jokila,FI,LW,,2000,,TPS Turku (Finland),,,,,,,,,,,,,,
201,Los Angeles Kings,Yevgeny Fedorov,RU,C,,2000,,Molot-Perm (Russia),,,,,,,,,,,,,,
202,New York Islanders,Ryan Caldwell\caldwry01,CA,D,19,2000,2008,Thunder Bay (USHL),4,0,0,0,-2,4,,,,,,,-0.1,
203,Nashville Predators,Jure Penko,SI,G,,2000,,Green Bay (USHL),,,,,,,,,,,,,,
204,Boston Bruins,Chris Berti,CA,C,,2000,,Sarnia (OHL),,,,,,,,,,,,,,
205,New York Rangers,Henrik Lundqvist\lundqhe01,SE,G,18,2000,2020,Vastra Frolunda (Sweden),887,0,27,27,0,18,887,459,310,96,0.918,2.43,173.3,
206,Los Angeles Kings,Tim Eriksson,SE,C,,2000,,Vastra Frolunda (Sweden),,,,,,,,,,,,,,
207,Chicago Blackhawks,Cliff Loya,US,D,,2000,,U. of Maine (H-East),,,,,,,,,,,,,,
208,Vancouver Canucks,Brandon Reid\reidbr01,CA,C,19,2000,2007,Halifax (QMJHL),13,2,4,6,4,0,,,,,,,0.8,
209,Toronto Maple Leafs,Markus Seikola,FI,D,,2000,,TPS Turku (Finland),,,,,,,,,,,,,,
210,Philadelphia Flyers,John Eichelberger,US,C,,2000,,Green Bay (USHL),,,,,,,,,,,,,,
211,Edmonton Oilers,Joe Cullen,US,C,,2000,,Colorado College (WCHA),,,,,,,,,,,,,,
