Overall,Team,Player,Nat.,Pos,Age,Start,End,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS
218,Vancouver Canucks,Hayden O'Rear,US,D,,1989,,Lathrop (High-AK),,,,,,,,,,,,,
219,St. Louis Blues,Brian Lukowski,US,G,,1989,,Niagara (OJHL),,,,,,,,,,,,,
220,Hartford Whalers,John Battice,CA,D,,1989,,London (OHL),,,,,,,,,,,,,
221,Detroit Red Wings,Vladimir Konstantinov\konstvl01,RU,D,22,1989,1997,CSKA Moscow (Russia),446,47,128,175,185,838,,,,,,,42.6
222,Philadelphia Flyers,Matt Brait,CA,D,,1989,,St. Michael's Jr. B (OJHL),,,,,,,,,,,,,
223,New York Rangers,Steve Locke,CA,LW,,1989,,Niagara Falls (OHL),,,,,,,,,,,,,
224,Buffalo Sabres,Todd Henderson,CA,G,,1989,,Thunder Bay (USHL),,,,,,,,,,,,,
225,Edmonton Oilers,Roman Bozek,CZ,RW,,1989,,Ceske Budejovice (Czech-2),,,,,,,,,,,,,
226,Pittsburgh Penguins,Scott Farrell,CA,D,,1989,,Spokane (WHL),,,,,,,,,,,,,
227,Boston Bruins,David Franzosa,US,LW,,1989,,Boston College (H-East),,,,,,,,,,,,,
228,Los Angeles Kings,Steve Jaques,CA,D,,1989,,Tri-City (WHL),,,,,,,,,,,,,
229,Washington Capitals,Sidorov Sidorov,RU,,,1989,,,,,,,,,,,,,,,
230,Montreal Canadiens,Justin Duberman\duberju01,US,RW,19,1989,1994,North Dakota (WCHA),4,0,0,0,0,0,,,,,,,-0.1
231,Calgary Flames,Alexander Yudin,RU,D,,1989,,Dynamo Moscow (Russia),,,,,,,,,,,,,
232,Quebec Nordiques,Noel Rahn,US,C,,1989,,Edina (High-MN),,,,,,,,,,,,,
233,New York Islanders,Iain Fraser\fraseia01,CA,C,20,1989,1997,Oshawa (OHL),94,23,23,46,-6,31,,,,,,,3.1
234,Toronto Maple Leafs,Steve Chartrand,CA,LW,,1989,,Drummondville (QMJHL),,,,,,,,,,,,,
235,Winnipeg Jets,Evgeny Davydov\davydev01,RU,LW,22,1989,1995,CSKA Moscow (Russia),155,40,39,79,-2,120,,,,,,,5.4
236,New Jersey Devils,Peter Larsson,SE,C,,1989,,Sodertalje (Sweden-2),,,,,,,,,,,,,
237,Chicago Blackhawks,Michael Doneghey,US,G,,1989,,Catholic Memorial (High-MA),,,,,,,,,,,,,
238,Minnesota North Stars,Helmut Balderis\baldehe01,LV,RW,37,1989,1990,Dynamo Riga (KHL),26,3,6,9,0,2,,,,,,,0.3
239,Vancouver Canucks,Darcy Cahill,CA,C,,1989,,Cornwall (OHL),,,,,,,,,,,,,
240,Winnipeg Jets,Sergei Kharin\kharise01,RU,RW,26,1989,1991,Krylja Sovetov (Russia),7,2,3,5,2,2,,,,,,,0.5
241,Hartford Whalers,Peter Kasowski,CA,C,,1989,,Swift Current (WHL),,,,,,,,,,,,,
242,Detroit Red Wings,Joseph Frederick,US,RW,,1989,,Madison,,,,,,,,,,,,,
243,Philadelphia Flyers,James Pollio,US,LW,,1989,,Vermont Academy (High-VT),,,,,,,,,,,,,
244,New York Rangers,Ken MacDermid,CA,LW,,1989,,Hull (QMJHL),,,,,,,,,,,,,
245,Buffalo Sabres,Michael Bavis,US,RW,,1989,,Cushing Academy (High-MA),,,,,,,,,,,,,
246,Detroit Red Wings,Jason Glickman,US,G,,1989,,Hull (QMJHL),,,,,,,,,,,,,
247,Pittsburgh Penguins,Jason Smart,CA,C,,1989,,Saskatoon (WHL),,,,,,,,,,,,,
248,Vancouver Canucks,Jan Bergman,SE,D,,1989,,Sodertalje (Sweden-2),,,,,,,,,,,,,
249,Los Angeles Kings,Kevin Sneddon,CA,D,,1989,,Harvard (ECAC),,,,,,,,,,,,,
250,Washington Capitals,Ken House,CA,C,,1989,,Miami (Ohio) (CCHA),,,,,,,,,,,,,
251,Montreal Canadiens,Steve Cadieux,CA,C,,1989,,Shawinigan (QMJHL),,,,,,,,,,,,,
252,Calgary Flames,Kenneth Kennholt,SE,D,,1989,,Djurgarden (Sweden),,,,,,,,,,,,,
