Overall,Team,Player,Nat.,Pos,Age,Start,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS
66,Los Angeles Kings,Petr Kanko\kankope01,CZ,RW,18,2002,2006,Kitchener (OHL),10,1,0,1,1,0,,,,,,,0.1
67,Florida Panthers,Gregory Campbell\campbgr01,CA,LW,18,2002,2016,Plymouth (OHL),803,71,116,187,-33,696,,,,,,,8
68,Vancouver Canucks,Brett Skinner\skinnbr01,CA,D,19,2002,2009,Des Moines (USHL),11,0,0,0,3,4,,,,,,,0.4
69,Pittsburgh Penguins,Erik Christensen\chriser01,CA,C,18,2002,2012,Kamloops (WHL),387,68,95,163,-24,162,,,,,,,14.7
70,Phoenix Coyotes,Joe Callahan\callajo02,US,D,19,2002,2011,Yale (ECAC),46,0,4,4,5,16,,,,,,,1.7
71,Anaheim Ducks,Brian Lee,US,D,,2002,,Erie (OHL),,,,,,,,,,,,,
72,Minnesota Wild,Mike Erickson\erickmi01,US,RW,19,2002,,Minnesota (WCHA),,,,,,,,,,,,,
73,Minnesota Wild,Barry Brust\brustba01,CA,G,19,2002,2007,Spokane (WHL),11,0,0,0,0,0,11,2,4,1,0.878,3.7,0.7
74,Toronto Maple Leafs,Todd Ford\fordto01,CA,G,18,2002,,Swift Current (WHL),,,,,,,,,,,,,
75,Ottawa Senators,Arttu Luttinen\luttiar01,FI,C,19,2002,,HIFK Helsinki Jr. (Finland-Jr.),,,,,,,,,,,,,
76,Buffalo Sabres,Michael Tessier\tessimi01,CA,LW,18,2002,,Acadie-Bathurst (QMJHL),,,,,,,,,,,,,
77,Washington Capitals,Patrick Wellar\wellapa01,CA,D,18,2002,,Portland (WHL),,,,,,,,,,,,,
78,Dallas Stars,Geoff Waugh\waughge01,CA,D,19,2002,,Kindersley (SJHL),,,,,,,,,,,,,
79,Edmonton Oilers,Brock Radunske\radunbr01,CA,LW,19,2002,,Michigan State (CCHA),,,,,,,,,,,,,
80,Phoenix Coyotes,Matt Jones\jonesma01,US,D,19,2002,2008,North Dakota (WCHA),106,1,10,11,-27,63,,,,,,,0.7
81,New York Rangers,Marcus Jonasen\jonasma01,SE,LW,18,2002,,Vasteras (Sweden-2),,,,,,,,,,,,,
82,Buffalo Sabres,John Adams\adamsjo03,US,D,19,2002,,Boston College (H-East),,,,,,,,,,,,,
83,Vancouver Canucks,Lukas Mensator\mensalu01,CZ,G,18,2002,,Karlovy Vary (Czech),,,,,,,,,,,,,
84,New Jersey Devils,Marek Chvatal\chvatma01,CZ,D,18,2002,,Trinec (Czech),,,,,,,,,,,,,
85,New Jersey Devils,Ahren Nittel\nitteah01,CA,LW,18,2002,,Windsor (OHL),,,,,,,,,,,,,
86,San Jose Sharks,Jonas Fiedler\fiedljo01,CZ,RW,18,2002,,Plymouth (OHL),,,,,,,,,,,,,
87,New York Islanders,Frans Nielsen\nielsfr01,DK,C,18,2002,2021,Malmo (Sweden),925,167,306,473,-37,166,,,,,,,43.3
88,Toronto Maple Leafs,Dominic D'Amour\damoudo01,CA,D,18,2002,,Hull (QMJHL),,,,,,,,,,,,,
89,St. Louis Blues,Tomas Troliga\trolito01,SK,C,18,2002,,Nova Ves (Slovakia-2),,,,,,,,,,,,,
90,Calgary Flames,Matthew Lombardi\lombama01,CA,C,20,2002,2013,Victoriaville (QMJHL),536,101,161,262,6,293,,,,,,,24.1
91,Carolina Hurricanes,Jesse Lane\laneje01,US,D,19,2002,,Hull (QMJHL),,,,,,,,,,,,,
92,Washington Capitals,Derek Krestanovich\krestde01,CA,C,19,2002,,Moose Jaw (WHL),,,,,,,,,,,,,
93,Chicago Blackhawks,Alexander Kojevnikov\kojeval01,RU,LW,18,2002,,Krylja Sovetov 2 (Russia-2),,,,,,,,,,,,,
94,Colorado Avalanche,Eric Lundberg\lundber01,US,D,19,2002,,Providence (H-East),,,,,,,,,,,,,
95,Detroit Red Wings,Valtteri Filppula\filppva01,FI,C,18,2002,2021,Jokerit Helsinki Jr. (Finland-Jr.),1056,197,333,530,-4,346,,,,,,,47.7
96,Columbus Blue Jackets,Jeff Genovy\genovje01,US,LW,19,2002,,Des Moines (USHL),,,,,,,,,,,,,
97,Phoenix Coyotes,Lance Monych\monycla01,CA,RW,18,2002,,Brandon (WHL),,,,,,,,,,,,,
98,Columbus Blue Jackets,Ivan Tkachenko\tkachiv01,RU,LW,22,2002,,Lokomotiv Yaroslavl (KHL),,,,,,,,,,,,,
99,Montreal Canadiens,Michael Lambert\lambemi01,CA,LW,18,2002,,Montreal (QMJHL),,,,,,,,,,,,,
100,Tampa Bay Lightning,Dmitri Kazionov\kaziodm01,RU,C,18,2002,,CSKA Moscow (Russia),,,,,,,,,,,,,
101,Pittsburgh Penguins,Daniel Fernholm\fernhda01,SE,D,18,2002,,Djurgarden (Sweden),,,,,,,,,,,,,
102,Nashville Predators,Brandon Segal\segalbr01,CA,RW,19,2002,2013,Calgary (WHL),103,11,11,22,1,85,,,,,,,2.1
103,Anaheim Ducks,Joonas Vihko\vihkojo01,FI,C,21,2002,,HIFK Helsinki (Finland),,,,,,,,,,,,,
104,Los Angeles Kings,Aaron Rome\romeaa01,CA,D,18,2002,2014,Swift Current (WHL),226,6,22,28,-17,185,,,,,,,5.2
105,Philadelphia Flyers,Rosario Ruggeri\ruggero01,CA,D,18,2002,,Chicoutimi (QMJHL),,,,,,,,,,,,,
106,Edmonton Oilers,Ivan Koltsov\koltsiv01,RU,D,18,2002,,Cherepovets-2 (Russia-3),,,,,,,,,,,,,
107,Colorado Avalanche,Mikko Kalteva\kaltemi01,FI,D,18,2002,,Jokerit Helsinki Jr. (Finland-Jr.),,,,,,,,,,,,,
108,Buffalo Sabres,Jakub Hulva\hulvaja01,CZ,RW,18,2002,,Vitkovice Jr. (Czech-Jr.),,,,,,,,,,,,,
109,Washington Capitals,Jevon Desautels\desauje01,CA,LW,18,2002,,Spokane (WHL),,,,,,,,,,,,,
110,Dallas Stars,Jarkko A. Immonen\immonja02,FI,C,18,2002,,Blues Espoo Jr. (Finland-Jr.),,,,,,,,,,,,,
111,Edmonton Oilers,Jonas Almtorp\almtojo01,SE,C,18,2002,,MoDo Ornskoldsvik Jr. (Sweden-Jr.),,,,,,,,,,,,,
112,Calgary Flames,Yuri Artemenkov\artemyu01,RU,RW,18,2002,,Krylja Sovetov 2 (Russia-2),,,,,,,,,,,,,
113,Ottawa Senators,Scott Dobben\dobbesc01,CA,C/LW,19,2002,,Erie (OHL),,,,,,,,,,,,,
114,Vancouver Canucks,John Laliberte\lalibjo01,US,RW,19,2002,,N.H. Jr. Monarchs (EJHL),,,,,,,,,,,,,
115,Los Angeles Kings,Mark Rooneem\roonema01,CA,LW,19,2002,,Kamloops (WHL),,,,,,,,,,,,,
116,Atlanta Thrashers,Patrick Dwyer\dwyerpa01,US,RW,19,2002,2015,Western Michigan (CCHA),416,42,51,93,-32,77,,,,,,,4.4
117,New Jersey Devils,Cam Janssen\janssca01,US,RW,18,2002,2014,Windsor (OHL),336,6,8,14,-26,774,,,,,,,-1.4
118,Washington Capitals,Petr Dvorak\dvorape01,CZ,C,18,2002,,Havirov-Jr. (Czech-Jr.),,,,,,,,,,,,,
119,Columbus Blue Jackets,Jekabs Redlihs\redlije01,LV,D,20,2002,,NY Apple Core (EJHL),,,,,,,,,,,,,
120,St. Louis Blues,Robin Jonsson\jonssro01,SE,D,18,2002,,Bofors,,,,,,,,,,,,,
121,Buffalo Sabres,Marty Magers\magerma01,US,G,19,2002,,Omaha (USHL),,,,,,,,,,,,,
122,Toronto Maple Leafs,David Turon\turonda01,CZ,D,18,2002,,Havirov (Czech-2),,,,,,,,,,,,,
123,Edmonton Oilers,invalid pick\inval01,,,,2002,,,,,,,,,,,,,,,
124,Atlanta Thrashers,Lane Manson\mansola01,CA,D,18,2002,,Moose Jaw (WHL),,,,,,,,,,,,,
125,Ottawa Senators,Johan Bjork\bjorkjo01,SE,D,18,2002,,Malmo Jr. (Sweden-Jr.),,,,,,,,,,,,,
126,Philadelphia Flyers,Konstantin Baranov\baranko01,RU,RW,20,2002,,Lada Togliatti (KHL),,,,,,,,,,,,,
127,New York Rangers,Nate Guenin\guenina01,US,D,19,2002,2016,Green Bay (USHL),205,5,23,28,7,94,,,,,,,6.7
128,Chicago Blackhawks,Matt Ellison\ellisma02,CA,RW,18,2002,2007,Cowichan Valley (BCHL),43,3,11,14,-5,19,,,,,,,0.5
129,Colorado Avalanche,Tom Gilbert\gilbeto01,US,D,19,2002,2017,Chicago (USHL),655,45,178,223,-40,198,,,,,,,40
130,Boston Bruins,Jan Kubista\kubisja01,CZ,RW,18,2002,,Pardubice Jr. (Czech-Jr.),,,,,,,,,,,,,
131,Detroit Red Wings,Johan Berggren\berggjo01,SE,D,18,2002,,Sunne (Sweden-3),,,,,,,,,,,,,
132,Phoenix Coyotes,John Zeiler\zeilejo01,US,RW,19,2002,2011,Sioux City (USHL),90,1,4,5,-11,87,,,,,,,-1
133,Columbus Blue Jackets,Lasse Pirjeta\pirjela01,FI,C,28,2002,2006,Karpat Oulu (Finland),146,23,27,50,-3,50,,,,,,,5.2
134,Florida Panthers,Topi Jaakola\jaakoto01,FI,D,18,2002,,Karpat Oulu (Finland),,,,,,,,,,,,,
135,Tampa Bay Lightning,Joe Pearce\pearcjo01,US,G,20,2002,,N.H. Jr. Monarchs (EJHL),,,,,,,,,,,,,
136,Pittsburgh Penguins,Andrew Sertich\sertian01,US,LW,19,2002,,Greenway (High-MN),,,,,,,,,,,,,
137,Pittsburgh Penguins,Cam Paddock\paddoca01,CA,C,19,2002,2009,Kelowna (WHL),16,2,1,3,-4,0,,,,,,,0.1
138,Nashville Predators,Patrick Jarrett\jarrepa01,CA,C,18,2002,,Owen Sound (OHL),,,,,,,,,,,,,
139,San Jose Sharks,Kris Newbury\newbukr01,CA,C,20,2002,2014,Sarnia (OHL),76,4,6,10,-3,139,,,,,,,0.5
140,Anaheim Ducks,George Davis\davisge01,CA,RW,19,2002,,Cape Breton (QMJHL),,,,,,,,,,,,,
141,Calgary Flames,Jiri Cetkovsky\cetkoji01,CZ,C,18,2002,,Zlin Jr. (Slovak-Jr.),,,,,,,,,,,,,
142,Calgary Flames,Emanuel Peter\peterem01,CH,C,18,2002,,Kloten (Swiss),,,,,,,,,,,,,
143,New York Rangers,Mike Walsh\walshmi02,US,LW,19,2002,,Detroit Compuware (NAHL),,,,,,,,,,,,,
144,Atlanta Thrashers,Paul Flache\flachpa01,CA,D,20,2002,,Brampton (OHL),,,,,,,,,,,,,
145,Washington Capitals,Rob Gherson\ghersro01,CA,G,18,2002,,Sarnia (OHL),,,,,,,,,,,,,
146,Calgary Flames,Viktor Bobrov\bobrovi01,RU,C,18,2002,,CSKA Moscow 2 (Russia),,,,,,,,,,,,,
147,Dallas Stars,David Bararuk\bararda01,CA,C,19,2002,,Moose Jaw (WHL),,,,,,,,,,,,,
148,Edmonton Oilers,Glenn Fisher\fishegl01,CA,G,19,2002,,Ft-Saskatchewan (AJHL),,,,,,,,,,,,,
149,New York Islanders,Marcus Paulsson\paulsma01,SE,C,18,2002,,Morrum (Sweden-2),,,,,,,,,,,,,
150,Ottawa Senators,Brock Hooton\hootobr01,CA,RW,19,2002,,Quesnel (BCHL),,,,,,,,,,,,,
151,Vancouver Canucks,Rob McVicar\mcvicro01,CA,G,20,2002,2006,Brandon (WHL),1,0,0,0,0,0,1,0,0,0,,0,0
152,Los Angeles Kings,Greg Hogeboom\hogebgr01,CA,RW,19,2002,,Miami (Ohio) (CCHA),,,,,,,,,,,,,
153,Boston Bruins,Peter Hamerlik\hamerpe01,SK,G,20,2002,,Kingston (OHL),,,,,,,,,,,,,
154,New Jersey Devils,Krisjanis Redlihs\redlikr01,LV,D,21,2002,,Metalurgs Liepaja (Belarus-Jr.),,,,,,,,,,,,,
155,Minnesota Wild,Armands Berzins\berziar01,LV,C,18,2002,,Shawinigan (QMJHL),,,,,,,,,,,,,
156,Chicago Blackhawks,James Wisniewski\wisnija01,US,D,18,2002,2016,Plymouth (OHL),552,53,221,274,-22,459,,,,,,,44.8
157,Los Angeles Kings,Joel Andresen\andrejo01,CA,D,19,2002,,St. Albert (AJHL),,,,,,,,,,,,,
158,Florida Panthers,Vince Bellissimo\bellivi01,CA,C,19,2002,,Topeka (USHL),,,,,,,,,,,,,
159,Calgary Flames,Kristofer Persson\persskr01,SE,RW,18,2002,,MoDo Ornskoldsvik Jr. (Sweden-Jr.),,,,,,,,,,,,,
160,Carolina Hurricanes,Daniel Manzato\manzada01,CH,G,18,2002,,Victoriaville (QMJHL),,,,,,,,,,,,,
161,Philadelphia Flyers,Dov Grumet-Morris\grumedo01,US,G,20,2002,,Harvard (ECAC),,,,,,,,,,,,,
162,Tampa Bay Lightning,Gerard Dicaire\dicaige01,YU,D,20,2002,,Kootenay (WHL),,,,,,,,,,,,,
163,San Jose Sharks,Tom Walsh\walshto01,US,D,19,2002,,Deerfield Academy (High-MA),,,,,,,,,,,,,
164,Colorado Avalanche,Tyler Weiman\weimaty01,CA,G,18,2002,2008,Tri-City (WHL),1,0,0,0,0,0,1,0,0,0,1,0,0.2
165,St. Louis Blues,Justin Maiser\maiseju01,US,C,19,2002,,Boston University (H-East),,,,,,,,,,,,,
166,Detroit Red Wings,Logan Koopmans\koopmlo01,CA,G,18,2002,,Lethbridge (WHL),,,,,,,,,,,,,
167,Atlanta Thrashers,Brad Schell\schelbr01,CA,C,18,2002,,Spokane (WHL),,,,,,,,,,,,,
168,Columbus Blue Jackets,Tim Konsorada\konsoti01,CA,RW,18,2002,,Brandon (WHL),,,,,,,,,,,,,
169,Florida Panthers,Jeremy Swanson\swansje01,CA,D,18,2002,,Barrie (OHL),,,,,,,,,,,,,
170,Tampa Bay Lightning,P.J. Atherton\atherp.01,US,D,20,2002,,Cedar Rapids (USHL),,,,,,,,,,,,,
171,Pittsburgh Penguins,Robert Goepfert\goepfro01,US,G,19,2002,,Cedar Rapids (USHL),,,,,,,,,,,,,
172,Nashville Predators,Mike McKenna\mckenmi01,US,G,19,2002,2019,St. Lawrence (ECAC),35,0,1,1,0,0,35,7,17,3,0.89,3.6,3.5
173,Anaheim Ducks,Luke Fritshaw\fritslu01,CA,D,18,2002,,Prince Albert (WHL),,,,,,,,,,,,,
174,Tampa Bay Lightning,Karri Akkanen\akkanka01,FI,RW,18,2002,,Ilves Tampere Jr. (Finland-Jr.),,,,,,,,,,,,,
175,Minnesota Wild,Matt Foy\foyma01,CA,RW,19,2002,2008,Merrimack (H-East),56,6,7,13,-6,48,,,,,,,1
176,Calgary Flames,Curtis McElhinney\mcelhcu01,CA,G,19,2002,2021,Colorado College (WCHA),249,0,4,4,0,4,249,94,95,20,0.907,2.83,35.2
177,New York Rangers,Jake Taylor\tayloja01,US,D,19,2002,,Green Bay (USHL),,,,,,,,,,,,,
178,Buffalo Sabres,Maxim Scheviev\schevma01,RU,C,18,2002,,Elektrostal (Russia-2),,,,,,,,,,,,,
179,Washington Capitals,Marian Havel\havelma01,CZ,C/LW,18,2002,,Vancouver (WCHL),,,,,,,,,,,,,
180,Dallas Stars,Kirill Sidorenko\sidorki01,RU,C,19,2002,,Kurgan,,,,,,,,,,,,,
181,Edmonton Oilers,Mikko Luoma\luomami01,FI,D,26,2002,2004,Tappara Tampere (Finland),3,0,1,1,0,0,,,,,,,0.1
182,Montreal Canadiens,Andre Deveaux\deveaan01,BS,C,18,2002,2012,Belleville (OHL),31,0,2,2,-1,104,,,,,,,-0.2
183,Tampa Bay Lightning,Paul Ranger\rangepa01,CA,D,18,2002,2014,Oshawa (OHL),323,24,82,106,-11,254,,,,,,,19.4
184,Columbus Blue Jackets,Jaroslav Balastik\balasja01,CZ,RW,22,2002,2007,Continental Zlin (Czech),74,13,11,24,-4,30,,,,,,,1.9
